nome,logradouro,numero,cep,bairro,microbairro,latitude,longitude
Parque Palace,Avenida Jornalista Tim Lopes,1620,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Palace,Avenida Lúcio Costa,1630,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Templo Palace,Avenida das Américas,1640,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Imperial Palace,Avenida Ayrton Senna,1650,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Palace,Avenida Embaixador Abelardo Bueno,1660,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Premium Palace,Rua Mário Covas Júnior,1670,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Palace,Avenida Heitor Doyle Maia,1680,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Prime,Rua Paulo Moura,1690,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Prime,Avenida Jornalista Tim Lopes,1700,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Prime,Avenida Lúcio Costa,1710,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Condomínio Prime,Avenida das Américas,1720,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Mansão Prime,Avenida Ayrton Senna,1730,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Prime,Avenida Embaixador Abelardo Bueno,1740,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Conjunto Prime,Rua Mário Covas Júnior,1750,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Prime,Avenida Heitor Doyle Maia,1760,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Prime,Rua Paulo Moura,1770,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Prime,Avenida Jornalista Tim Lopes,1780,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Prime,Avenida Lúcio Costa,1790,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Imperial Prime,Avenida das Américas,1800,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Régis Prime,Avenida Ayrton Senna,1810,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Prime,Avenida Embaixador Abelardo Bueno,1820,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Platinum Prime,Rua Mário Covas Júnior,1830,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Luxury,Avenida Heitor Doyle Maia,1840,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Luxury,Rua Paulo Moura,1850,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Luxury,Avenida Jornalista Tim Lopes,1860,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Luxury,Avenida Lúcio Costa,1870,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Mansão Luxury,Avenida das Américas,1880,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Bloco Luxury,Avenida Ayrton Senna,1890,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Luxury,Avenida Embaixador Abelardo Bueno,1900,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Vila Luxury,Rua Mário Covas Júnior,1910,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Luxury,Avenida Heitor Doyle Maia,1920,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Luxury,Rua Paulo Moura,1930,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Luxury,Avenida Jornalista Tim Lopes,1940,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Luxury,Avenida Lúcio Costa,1950,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Régis Luxury,Avenida das Américas,1960,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Premium Luxury,Avenida Ayrton Senna,1970,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Luxury,Avenida Embaixador Abelardo Bueno,1980,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Torre Gold,Rua Mário Covas Júnior,1990,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Gold,Avenida Heitor Doyle Maia,2000,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Gold,Rua Paulo Moura,2010,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Gold,Avenida Jornalista Tim Lopes,2020,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Gold,Avenida Lúcio Costa,2030,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Bloco Gold,Avenida das Américas,2040,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Conjunto Gold,Avenida Ayrton Senna,2050,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Gold,Avenida Embaixador Abelardo Bueno,2060,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Parque Gold,Rua Mário Covas Júnior,2070,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Gold,Avenida Heitor Doyle Maia,2080,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Gold,Rua Paulo Moura,2090,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Gold,Avenida Jornalista Tim Lopes,2100,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Gold,Avenida Lúcio Costa,2110,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Premium Gold,Avenida das Américas,2120,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Platinum Gold,Avenida Ayrton Senna,2130,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Premium,Avenida Embaixador Abelardo Bueno,2140,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Residencial Premium,Rua Mário Covas Júnior,2150,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Premium,Avenida Heitor Doyle Maia,2160,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Premium,Rua Paulo Moura,2170,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Premium,Avenida Jornalista Tim Lopes,2180,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Premium,Avenida Lúcio Costa,2190,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Conjunto Premium,Avenida das Américas,2200,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Vila Premium,Avenida Ayrton Senna,2210,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Premium,Avenida Embaixador Abelardo Bueno,2220,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Oasis Premium,Rua Mário Covas Júnior,2230,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Premium,Avenida Heitor Doyle Maia,2240,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Premium,Rua Paulo Moura,2250,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Premium,Avenida Jornalista Tim Lopes,2260,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Premium,Avenida Lúcio Costa,2270,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Platinum Premium,Avenida das Américas,2280,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Torre Plus,Avenida Ayrton Senna,2290,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Plus,Avenida Embaixador Abelardo Bueno,2300,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Edifício Plus,Rua Mário Covas Júnior,2310,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Plus,Avenida Heitor Doyle Maia,2320,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Plus,Rua Paulo Moura,2330,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Plus,Avenida Jornalista Tim Lopes,2340,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Plus,Avenida Lúcio Costa,2350,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Vila Plus,Avenida das Américas,2360,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Parque Plus,Avenida Ayrton Senna,2370,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Plus,Avenida Embaixador Abelardo Bueno,2380,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Templo Plus,Rua Mário Covas Júnior,2390,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Plus,Avenida Heitor Doyle Maia,2400,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Plus,Rua Paulo Moura,2410,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Plus,Avenida Jornalista Tim Lopes,2420,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Plus,Avenida Lúcio Costa,2430,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Torre Elite,Avenida das Américas,2440,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Residencial Elite,Avenida Ayrton Senna,2450,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Elite,Avenida Embaixador Abelardo Bueno,2460,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Condomínio Elite,Rua Mário Covas Júnior,2470,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Elite,Avenida Heitor Doyle Maia,2480,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Elite,Rua Paulo Moura,2490,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Elite,Avenida Jornalista Tim Lopes,2500,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Elite,Avenida Lúcio Costa,2510,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Parque Elite,Avenida das Américas,2520,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Oasis Elite,Avenida Ayrton Senna,2530,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Elite,Avenida Embaixador Abelardo Bueno,2540,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Imperial Elite,Rua Mário Covas Júnior,2550,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Elite,Avenida Heitor Doyle Maia,2560,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Elite,Rua Paulo Moura,2570,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Elite,Avenida Jornalista Tim Lopes,2580,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Prestige,Avenida Lúcio Costa,2590,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Residencial Prestige,Avenida das Américas,2600,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Edifício Prestige,Avenida Ayrton Senna,2610,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Prestige,Avenida Embaixador Abelardo Bueno,2620,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Mansão Prestige,Rua Mário Covas Júnior,2630,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Prestige,Avenida Heitor Doyle Maia,2640,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Prestige,Rua Paulo Moura,2650,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Prestige,Avenida Jornalista Tim Lopes,2660,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Prestige,Avenida Lúcio Costa,2670,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Oasis Prestige,Avenida das Américas,2680,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Templo Prestige,Avenida Ayrton Senna,2690,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Prestige,Avenida Embaixador Abelardo Bueno,2700,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Régis Prestige,Rua Mário Covas Júnior,2710,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Prestige,Avenida Heitor Doyle Maia,2720,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Prestige,Rua Paulo Moura,2730,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Deluxe,Avenida Jornalista Tim Lopes,2740,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Deluxe,Avenida Lúcio Costa,2750,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Edifício Deluxe,Avenida das Américas,2760,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Condomínio Deluxe,Avenida Ayrton Senna,2770,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Deluxe,Avenida Embaixador Abelardo Bueno,2780,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Bloco Deluxe,Rua Mário Covas Júnior,2790,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Deluxe,Avenida Heitor Doyle Maia,2800,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Deluxe,Rua Paulo Moura,2810,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Deluxe,Avenida Jornalista Tim Lopes,2820,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Deluxe,Avenida Lúcio Costa,2830,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Templo Deluxe,Avenida das Américas,2840,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Imperial Deluxe,Avenida Ayrton Senna,2850,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Deluxe,Avenida Embaixador Abelardo Bueno,2860,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Premium Deluxe,Rua Mário Covas Júnior,2870,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Deluxe,Avenida Heitor Doyle Maia,2880,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Royal,Rua Paulo Moura,2890,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Royal,Avenida Jornalista Tim Lopes,2900,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Royal,Avenida Lúcio Costa,2910,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Condomínio Royal,Avenida das Américas,2920,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Mansão Royal,Avenida Ayrton Senna,2930,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Royal,Avenida Embaixador Abelardo Bueno,2940,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Conjunto Royal,Rua Mário Covas Júnior,2950,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Royal,Avenida Heitor Doyle Maia,2960,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Royal,Rua Paulo Moura,2970,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Royal,Avenida Jornalista Tim Lopes,2980,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Royal,Avenida Lúcio Costa,2990,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Imperial Royal,Avenida das Américas,3000,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Régis Royal,Avenida Ayrton Senna,3010,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Royal,Avenida Embaixador Abelardo Bueno,3020,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Platinum Royal,Rua Mário Covas Júnior,3030,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Select,Avenida Heitor Doyle Maia,3040,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Select,Rua Paulo Moura,3050,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Select,Avenida Jornalista Tim Lopes,3060,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Select,Avenida Lúcio Costa,3070,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Mansão Select,Avenida das Américas,3080,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Bloco Select,Avenida Ayrton Senna,3090,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Select,Avenida Embaixador Abelardo Bueno,3100,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Vila Select,Rua Mário Covas Júnior,3110,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Select,Avenida Heitor Doyle Maia,3120,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Select,Rua Paulo Moura,3130,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Select,Avenida Jornalista Tim Lopes,3140,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Select,Avenida Lúcio Costa,3150,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Régis Select,Avenida das Américas,3160,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Premium Select,Avenida Ayrton Senna,3170,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Select,Avenida Embaixador Abelardo Bueno,3180,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Torre Classic,Rua Mário Covas Júnior,3190,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Classic,Avenida Heitor Doyle Maia,3200,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Classic,Rua Paulo Moura,3210,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Classic,Avenida Jornalista Tim Lopes,3220,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Classic,Avenida Lúcio Costa,3230,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Bloco Classic,Avenida das Américas,3240,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Conjunto Classic,Avenida Ayrton Senna,3250,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Classic,Avenida Embaixador Abelardo Bueno,3260,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Parque Classic,Rua Mário Covas Júnior,3270,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Oasis Classic,Avenida Heitor Doyle Maia,3280,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Templo Classic,Rua Paulo Moura,3290,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Classic,Avenida Jornalista Tim Lopes,3300,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Régis Classic,Avenida Lúcio Costa,3310,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Premium Classic,Avenida das Américas,3320,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Platinum Classic,Avenida Ayrton Senna,3330,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Dream,Avenida Embaixador Abelardo Bueno,3340,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Residencial Dream,Rua Mário Covas Júnior,3350,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Edifício Dream,Avenida Heitor Doyle Maia,3360,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Dream,Rua Paulo Moura,3370,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Dream,Avenida Jornalista Tim Lopes,3380,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Dream,Avenida Lúcio Costa,3390,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
